model_name,evaluation_method,R2,MAE,RMSE
BaselineMean,SeasonHoldout_2023,-0.037571351442413414,5.082936342698783,6.356769448644477
Baseline_ADJOE_minus_ADJDE,SeasonHoldout_2023,0.6068475680246996,3.1360004072609,3.9129829698214533
LinearRegression,SeasonHoldout_2023,0.8070933213560423,2.1613854066891562,2.740949956266467
RidgeCV,SeasonHoldout_2023,0.8072805512306183,2.1599891675369305,2.7396194883375
LassoCV,SeasonHoldout_2023,0.8078692392366954,2.1554237657445685,2.735432016226346
BaselineMean,Rolling_2019,-0.0231321423277302,5.1711158669875985,6.439164764377565
Baseline_ADJOE_minus_ADJDE,Rolling_2019,0.6286974778935857,3.0837226590149815,3.8790700579947597
LinearRegression,Rolling_2019,0.8455951555458279,1.999396235528919,2.5014632953527802
RidgeCV,Rolling_2019,0.8457469036815879,1.9982259292899718,2.500233781783397
LassoCV,Rolling_2019,0.845163683891985,1.9978503629357875,2.5049559239339123
BaselineMean,Rolling_2020,-1.5601571908385736e-05,4.356912815956336,5.4764814390793575
Baseline_ADJOE_minus_ADJDE,Rolling_2020,0.5726494576380237,2.944528022366458,3.580060467866832
LinearRegression,Rolling_2020,0.7896790237319136,1.9683015249200713,2.511536688949303
RidgeCV,Rolling_2020,0.7902694220070359,1.9650815034154516,2.5080091069021146
LassoCV,Rolling_2020,0.7905492785878425,1.964357879235085,2.5063352519071436
BaselineMean,Rolling_2021,-0.6442313542999099,5.581305368769347,6.752168758155529
Baseline_ADJOE_minus_ADJDE,Rolling_2021,-0.17866768974461378,4.780531743932473,5.7168594433212805
LinearRegression,Rolling_2021,-0.08778401995558482,4.709869673256923,5.49203330968879
RidgeCV,Rolling_2021,-0.08736967306208832,4.710049781937473,5.490987227175966
LassoCV,Rolling_2021,-0.08244335811093384,4.7072045052958025,5.478534682037118
BaselineMean,Rolling_2022,-0.016204903621780842,5.391621882442519,6.5178030055677905
Baseline_ADJOE_minus_ADJDE,Rolling_2022,0.6441451882084208,3.0545722435355716,3.8569766386183737
LinearRegression,Rolling_2022,0.8105123115242164,2.211335776052245,2.8144989180227853
RidgeCV,Rolling_2022,0.8107306822565998,2.209191622175608,2.812876698213441
LassoCV,Rolling_2022,0.8117433374543492,2.2033382770322407,2.805341682643417
BaselineMean,Rolling_2023,-0.037571351442413414,5.082936342698783,6.356769448644477
Baseline_ADJOE_minus_ADJDE,Rolling_2023,0.6068475680246996,3.1360004072609,3.9129829698214533
LinearRegression,Rolling_2023,0.8070933213560423,2.1613854066891562,2.740949956266467
RidgeCV,Rolling_2023,0.8072805512306183,2.1599891675369305,2.7396194883375
LassoCV,Rolling_2023,0.8078692392366954,2.1554237657445685,2.735432016226346
